index,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste
29,1470,Acalli,U.S.A,2015,Peru,"Tumbes, Norandino",70,3.75,2,Bean,,,,,Sugar,,intense,nutty,cherry,cocoa
30,2470,Acalli,U.S.A,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70,3.5,2,Bean,,,,,Sugar,,hot cocoa,rich,molasses,
31,2462,Acalli,U.S.A,2020,Mexico,"Teapa, Tabasco, batch 2",74,3.25,2,Bean,,,,,Sugar,,herbal,molasses,hammy,
32,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88,3.5,3,Bean,Cocoa butter,,,,Sugar,,orange,floral,lemon,
33,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72,3.5,3,Bean,Cocoa butter,,,,Sugar,,cocoa and powerful tang,,,
34,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80,3.25,3,Bean,Cocoa butter,,,,Sugar,,spicy and candy-like,,,
35,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60,2.75,3,Bean,Cocoa butter,,,,Sugar,,sweet,sublte strawberry,,
36,2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70,3,2,Bean,,,,,Sugar,,sandy,woody,spicy,sweet
37,2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70,2.75,2,Bean,,,,,Sugar,,basic,sweet,cocoa,woody
38,2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70,2.75,2,Bean,,,,,Sugar,,sweet,cocoa,rubbery,
39,2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70,2.5,2,Bean,,,,,Sugar,,unrefined,sweet,metallic,
40,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,roasty,nutty,coffee,
41,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55,2.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sandy,sweet,banana cream,
42,316,Ah Cacao,Mexico,2009,Mexico,Tabasco,70,3,3,Bean,Cocoa butter,,,,Sugar,,gritty,spice,cocoa,
43,502,Akesson's (Pralus),Switzerland,2010,Madagascar,"Madagascar, Ambolikapiky P.",75,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,strong pepper,musty,,
44,508,Akesson's (Pralus),Switzerland,2010,Brazil,"Monte Alegre, D. Badero",75,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,fatty,intense,woody,
45,636,Akesson's (Pralus),Switzerland,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,hay,nut,berry,
46,1061,Alain Ducasse,France,2013,Venezuela,Chuao,75,2.5,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,sandy,dirt,ashey,
47,1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",75,2.5,5,Bean,Cocoa butter,Vanilla,Lecithin,,Sugar,,cardboard,dirt,roasty,
48,1215,Alain Ducasse,France,2014,Madagascar,Madagascar,75,3,5,Bean,Cocoa butter,Vanilla,,Salt,Sugar,,citrus,fatty,dairy,
49,1215,Alain Ducasse,France,2014,Trinidad,Trinite,65,2.75,6,Bean,Cocoa butter,Vanilla,Lecithin,Salt,Sugar,,roasty,sweet,savory,
50,1215,Alain Ducasse,France,2014,Vietnam,Vietnam,75,2.75,5,Bean,Cocoa butter,Vanilla,,Salt,Sugar,,nutty,roasty,odd dairy,
51,1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75,3.5,6,Bean,Cocoa butter,Vanilla,Lecithin,Salt,Sugar,,strawberry,cream,gateway,
52,1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,green,floral,
53,1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,sweet,nibby,
54,1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,melon,banana,
55,1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,sweet,roasty,
56,1129,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 101",80,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,gritty,berry,mild bitter,
57,1133,Altus aka Cao Artisan,U.S.A,2013,Peru,"Peru, batch 148",60,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,gritty,too sweet,fruit,
58,1125,Altus aka Cao Artisan,U.S.A,2013,Dominican republic,"Conacado, batch 130",60,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sandy,sweet,dairy,spice
59,1133,Altus aka Cao Artisan,U.S.A,2013,Bolivia,"Bolivia, batch 154",60,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,grit,sweet,caramel,fruit
60,1125,Altus aka Cao Artisan,U.S.A,2013,Venezuela,Sur del Lago,60,2.5,4,Bean,Cocoa butter,,Lecithin,,Sugar,,sweet,moldy,off,
61,1728,Altus aka Cao Artisan,U.S.A,2016,Peru,Acopagro,60,3,3,Bean,Cocoa butter,,,,Sugar,,dry,sweet,caramel,
62,1728,Altus aka Cao Artisan,U.S.A,2016,Nicaragua,Momotombo,60,2.75,3,Bean,Cocoa butter,,,,Sugar,,powdery,sweet,molasses,
63,1732,Altus aka Cao Artisan,U.S.A,2016,Ecuador,Gruppo Salinas,60,2.75,3,Bean,Cocoa butter,,,,Sugar,,sandy,nutty,earthy,roasty
64,1732,Altus aka Cao Artisan,U.S.A,2016,Bolivia,CIAAB Coop,60,2.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,sweet,pungent,
65,1732,Altus aka Cao Artisan,U.S.A,2016,Peru,Villa Andina,60,2.5,3,Bean,Cocoa butter,,,,Sugar,,sandy,sweet,sour,off
66,2044,Altus aka Cao Artisan,U.S.A,2018,Dominican republic,Oko Caribe,70,3,3,Bean,Cocoa butter,,,,Sugar,,sweet,coarse,nutty,
67,175,Amano,U.S.A,2007,Venezuela,Ocumare,70,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,spicy,strawberry,,
68,129,Amano,U.S.A,2007,Madagascar,Madagascar,70,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,spice,nut,cocoa,fruit
69,147,Amano,U.S.A,2007,Venezuela,Cuyagua,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,waxy,nutty,mint,
70,304,Amano,U.S.A,2008,Indonesia,"Bali, Jembrana",70,2.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sticky,nutty,high acidity,
71,363,Amano,U.S.A,2009,Venezuela,Montanya,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,hot spice,roasty,,
72,470,Amano,U.S.A,2010,Ecuador,Guayas,70,4,4,Bean,Cocoa butter,Vanilla,,,Sugar,,strong spice,intense pepper,,
73,470,Amano,U.S.A,2010,Dominican republic,Dos Rios,70,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,orange,cinamon,,
74,544,Amano,U.S.A,2010,Venezuela,Chuao,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,woody,red berry,sour,
75,725,Amano,U.S.A,2011,Papua new guinea,Morobe,70,4,4,Bean,Cocoa butter,Vanilla,,,Sugar,,tart,lemon,smoke,
76,322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70,3,2,Bean,,,,,Sugar,,dry,chalky,fudge-like,
77,464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85,3,2,Bean,,,,,Sugar,,roasty,oddly sweet,marshmallow,
78,327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70,2.75,2,Bean,,,,,Sugar,,waxy mouthfeel,spicy,,
79,464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85,2.75,2,Bean,,,,,Sugar,,fatty,mushroom,off notes,
80,1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73,3.5,3,Bean,Cocoa butter,,,,Sugar,,oily,vegetal,nutty,cocoa
81,1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72,3.25,3,Bean,Cocoa butter,,,,Sugar,,oily,vanilla,melon,cocoa
82,1498,Ambrosia,Canada,2015,Peru,Peru,68,3.5,2,Bean,,,,,Sugar,,rich,sour,mild smoke,
83,1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66,3.25,2,Bean,,,,,Sugar,,fruity,sour,,
84,1498,Ambrosia,Canada,2015,Dominican republic,Dominican Republic,75,3.25,2,Bean,,,,,Sugar,,high roast,high astringnet,,
85,1498,Ambrosia,Canada,2015,Papua new guinea,Papua New Guinea,63,3.25,2,Bean,,,,,Sugar,,smokey,savory,,
86,1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70,3.25,2,Bean,,,,,Sugar,,sandy,roasty,nutty,
87,1494,Ambrosia,Canada,2015,Belize,Belize,64,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,roasty,brownie,nutty,
88,75,Amedei,Italy,2006,Blend,Toscano Black,66,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,red wine,rich cocoa,long,
89,123,Amedei,Italy,2007,Venezuela,Venezuela,70,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,creamy,fruit,cocoa,
90,123,Amedei,Italy,2007,Grenada,Grenada,70,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,fruity with coffee notes,,,
91,129,Amedei,Italy,2007,Trinidad,Trinidad,70,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,coffee,fruit,woodsy,
92,170,Amedei,Italy,2007,Blend,Toscano Black,63,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,fatty,dairy,caramel,cocoa
93,123,Amedei,Italy,2007,Ecuador,Ecuador,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,creamy,earthy,vegetal,
94,123,Amedei,Italy,2007,Jamaica,Jamaica,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sandy,woody,spicy,
95,979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70,3.75,4,Bean,Cocoa butter,Vanilla,,,Sugar,,creamy,raspberry,nutty,
96,2092,Amedei,Italy,2018,Blend,Nine,75,3.5,4,Bean,Cocoa butter,Vanilla,,,Sugar,,sweet,delicate,complex,
97,2088,Amedei,Italy,2018,Madagascar,Madagascar,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,vanilla,mint,roasty,
98,2088,Amedei,Italy,2018,Venezuela,Chuao,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,vanilla,nuts,roasty,
99,2092,Amedei,Italy,2018,Venezuela,Porcelana,70,3,4,Bean,Cocoa butter,Vanilla,,,Sugar,,nutty,mild roasty,vanilla,
100,2434,Amedei,Italy,2019,Blend,Toscano Black,70,2.75,3,Bean,Cocoa butter,,,,Sugar,,nut,fatty,rubbery,rich
101,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60,4,4,Bean,Cocoa butter,,Lecithin,,Sugar,,creamy,sweet,cocoa,banana
102,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,very sweet,bright red,banana,
103,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75,3.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,roasty,fatty,nutty,coffee
104,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,creamy,red berry,bitter,
105,1065,AMMA,Brazil,2013,Brazil,Catongo,75,3.25,4,Bean,Cocoa butter,,Lecithin,,Sugar,,grainy,sweet,poor aftertaste,
106,1259,Anahata,U.S.A,2014,Dominican republic,Elvesia,75,3,2,Bean,,,,,Sugar,,chalky,mild fruit,burnt,
107,1852,Animas,U.S.A,2016,Bolivia,Alto Beni,75,3.5,2,Bean,,,,,Sugar,,light roast,caramel,cocoa,
108,1375,Ara,France,2014,Madagascar,Madagascar,75,3,3,Bean,Cocoa butter,,,,Sugar,,sandy,fruity,short,
109,1379,Ara,France,2014,Venezuela,Trincheras,75,3,3,Bean,Cocoa butter,,,,Sugar,,nutty,mild spice,mild earthy,
110,1379,Ara,France,2014,Ecuador,Equateur,75,2.75,3,Bean,Cocoa butter,,,,Sugar,,bitter,floral,leather,
111,1379,Ara,France,2014,Mexico,Chiapas,72,2.5,3,Bean,Cocoa butter,,,,Sugar,,earthy,sour milk,leather,
112,1598,Arete,U.S.A,2015,Nicaragua,Chuno,70,4,2,Bean,,,,,Sugar,,creamy,sticky,peanut butter,
113,1534,Arete,U.S.A,2015,Ecuador,"Puerto Quito, heirloom",70,3.75,2,Bean,,,,,Sugar,,spicy,cocoa,,
114,1598,Arete,U.S.A,2015,Belize,Maya Mountain,70,3.75,2,Bean,,,,,Sugar,,floral,strawberry,metallic,
115,1534,Arete,U.S.A,2015,Brazil,Fazenda Camboa,70,3.5,2,Bean,,,,,Sugar,,creamy,rich,rum,roasty
116,1534,Arete,U.S.A,2015,Peru,Nacional,68,3.5,2,Bean,,,,,Sugar,,floral,nutty,rich cocoa,
117,1598,Arete,U.S.A,2015,Dominican republic,Oko Caribe,70,3.5,2,Bean,,,,,Sugar,,spicy,brownie,nutty,
118,1602,Arete,U.S.A,2015,Ecuador,Camino Verde,75,3.5,3,Bean,Cocoa butter,,,,Sugar,,intense,floral,bourbon,
119,1602,Arete,U.S.A,2015,Guatemala,Guatemala,70,3.25,2,Bean,,,,,Sugar,,strawberry,butterscotch,off,
120,1602,Arete,U.S.A,2015,Brazil,Fazenda Camboa,75,2.75,2,Bean,,,,,Sugar,,floral,chemical off,,
121,1908,Arete,U.S.A,2016,Costa rica,"Coto Brus, Terciopelo",70,4,2,Bean,,,,,Sugar,,balanced,cherry,choco,
122,1924,Arete,U.S.A,2016,Peru,Phantom,70,4,2,Bean,,,,,Sugar,,creamy,complex,balanced,
123,1724,Arete,U.S.A,2016,Tanzania,Kokoa Kamili,70,3.75,2,Bean,,,,,Sugar,,appealing smoke,woody,,
124,1904,Arete,U.S.A,2016,Nicaragua,Rugoso,70,3.75,3,Bean,Cocoa butter,,,,Sugar,,muddy,rich cocoa,raspberry,
125,1928,Arete,U.S.A,2016,Dominican republic,Elvesia,70,3.75,2,Bean,,,,,Sugar,,dark berry,chocolatey,,
126,1724,Arete,U.S.A,2016,Trinidad,San Juan,70,3.5,2,Bean,,,,,Sugar,,delicate,simple,,
127,1900,Arete,U.S.A,2016,Vietnam,Tien Giang,73,3.5,3,Bean,Cocoa butter,,,,Sugar,,cashew,roasty,chunky melt,
128,1904,Arete,U.S.A,2016,Guatemala,Lachua,70,3.5,2,Bean,,,,,Sugar,,subtle,mysterious,,
129,1908,Arete,U.S.A,2016,Honduras,"La Masica, FHIA",70,3.5,2,Bean,,,,,Sugar,,nutty,green,,
130,1904,Arete,U.S.A,2016,Ecuador,Hacienda Victoria,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,sticky,floral,roasty,
131,1904,Arete,U.S.A,2016,Ecuador,Costa Esmeraldas,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,chewy,mild floral,,
132,1928,Arete,U.S.A,2016,Fiji,Matasawalevu,70,3.25,2,Bean,,,,,Sugar,,smoke,hammy,cocoa base,
133,1928,Arete,U.S.A,2016,Vietnam,Lam Dong,73,3.25,2,Bean,,,,,Sugar,,earthy,nutty,cardboard,
134,2024,Arete,U.S.A,2017,Bolivia,Beniano,70,4,2,Bean,,,,,Sugar,,creamy,bright fruit,,
135,2028,Arete,U.S.A,2017,Haiti,Pisa,70,4,2,Bean,,,,,Sugar,,long lasting,cocoa,,
136,2020,Arete,U.S.A,2017,India,Anamalai,70,3.5,2,Bean,,,,,Sugar,,slight roasty,basic cocoa,,
137,2020,Arete,U.S.A,2017,Madagascar,Sambirano Valley,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,sour fruit,,,
138,2020,Arete,U.S.A,2017,Vietnam,Ben Tre,73,3.5,3,Bean,Cocoa butter,,,,Sugar,,rich cocoa,mild roasty,,
139,2028,Arete,U.S.A,2017,Peru,Ucayali,70,3.5,3,Bean,Cocoa butter,,,,Sugar,,dried fruit,fig,anise,
140,2254,Arete,U.S.A,2018,Colombia,Tumaco,70,4,2,Bean,,,,,Sugar,,smooth,nutty,cocoa,
141,2068,Arete,U.S.A,2018,Trinidad,Ramnath E.,70,3,2,Bean,,,,,Sugar,,nuts,dried fruit,short,
142,2330,Arete,U.S.A,2019,India,Jangareddygudem,70,3.25,3,Bean,Cocoa butter,,,,Sugar,,herbs,mushroom,acidic,
143,2450,Arete,U.S.A,2019,India,Idukki,70,3,3,Bean,Cocoa butter,,,,Sugar,,burn butterscotch,rubbery,,
144,2162,Argencove,Nicaragua,2018,Nicaragua,Mombacho,70,3.5,2,Bean,,,,,Sugar,,smooth,vegetal,,
145,2162,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70,3.5,2,Bean,,,,,Sugar,,roasty,rich cocoa,,
146,2162,Argencove,Nicaragua,2018,Nicaragua,Masaya,70,3.25,2,Bean,,,,,Sugar,,melon,late hammy,,
147,2166,Argencove,Nicaragua,2018,Nicaragua,Apoyo,70,3,2,Bean,,,,,Sugar,,cocoa,earthy,hammy,
148,300,Artisan du Chocolat,U.k.,2008,Congo,Congo,72,3.75,3,Bean,Cocoa butter,,,,Sugar,,spicy,minty,vegetal,
149,363,Artisan du Chocolat,U.k.,2009,Dominican republic,Dominican Republic,72,3.25,3,Bean,Cocoa butter,,,,Sugar,,spice,cocoa,short,
150,363,Artisan du Chocolat,U.k.,2009,Madagascar,Madagascar,80,3,3,Bean,Cocoa butter,,,,Sugar,,sl. bitter,cherry,rich,
151,363,Artisan du Chocolat,U.k.,2009,Peru,Peru,75,3,3,Bean,Cocoa butter,,,,Sugar,,spicey,mild metallic,,
152,355,Artisan du Chocolat,U.k.,2009,Indonesia,Java,72,2.75,3,Bean,Cocoa butter,,,,Sugar,,gritty,very smokey,sour,
153,355,Artisan du Chocolat,U.k.,2009,Venezuela,"Ocumare, Venezuela",75,2.5,3,Bean,Cocoa butter,,,,Sugar,,oily,nutty,burnt,sour
154,363,Artisan du Chocolat,U.k.,2009,Brazil,Brazil Rio Doce,72,1.75,3,Bean,Cocoa butter,,,,Sugar,,cocoa,dominate off note,,
155,531,Artisan du Chocolat,U.k.,2010,Jamaica,Jamaica,72,3.75,3,Bean,Cocoa butter,,,,Sugar,,grassy,black licorice,mint,
156,600,Artisan du Chocolat,U.k.,2010,Indonesia,Bali,72,3.5,3,Bean,Cocoa butter,,,,Sugar,,black pepper and banana,,,
157,600,Artisan du Chocolat,U.k.,2010,Costa rica,Costa Rica,72,3.25,3,Bean,Cocoa butter,,,,Sugar,,chewy,grassy,nutty,
158,600,Artisan du Chocolat,U.k.,2010,Vietnam,Ba Ria Vung Tau Province,72,3.25,3,Bean,Cocoa butter,,,,Sugar,,unrefined,distinct spicey,,
159,729,Artisan du Chocolat,U.k.,2011,Haiti,Haiti,72,4,3,Bean,Cocoa butter,,,,Sugar,,nuts,butterscotch,brownie,
160,745,Artisan du Chocolat,U.k.,2011,Panama,Panama,72,2.75,3,Bean,Cocoa butter,,,,Sugar,,blackpepper,chemical,rubber,
161,947,Artisan du Chocolat,U.k.,2012,Colombia,"Colombia, Casa Luker",72,3.75,3,Bean,Cocoa butter,,,,Sugar,,marshmallow,roasty,nutty,
162,1193,Artisan du Chocolat,U.k.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72,3.25,3,Bean,Cocoa butter,,,,Sugar,,gritty,nutty,,
163,1181,Artisan du Chocolat (Casa Luker),U.k.,2013,Colombia,"Orinoqua Region, Arauca",72,2.75,4,Bean,Cocoa butter,,Lecithin,,Sugar,,creamy,marshmallow,off,
164,175,Askinosie,U.S.A,2007,Ecuador,San Jose del Tambo,70,3,2,Bean,,,,,Sugar,,smooth,astringent,cocoa,
165,141,Askinosie,U.S.A,2007,Mexico,Xoconusco,75,2.5,2,Bean,,,,,Sugar,,leather,black licorice,off,
166,331,Askinosie,U.S.A,2009,Philippines,Davao,77,3.75,2,Bean,,,,,Sugar,,strawberries,mild tart,roasty,
167,647,Askinosie,U.S.A,2011,Tanzania,"Tenende, Uwate",72,3.75,2,Bean,,,,,Sugar,,creamy,woody,cocoa,
168,661,Askinosie,U.S.A,2011,Honduras,Cortes,70,3.75,2,Bean,,,,,Sugar,,grapes,woody,roasty,
169,1780,Askinosie,U.S.A,2016,Tanzania,Mababa,68,3.75,3,Bean,Cocoa butter,,,,Sugar,,creamy,rich,blueberry,
170,2434,Atypic,Australia,2019,Solomon islands,Solomon Islands,70,3,4,Bean,Cocoa butter,,Lecithin,,Sugar,,off aroma,vegetal,honey,sandy
171,2056,Auro,Philippines,2018,Philippines,"Saloy E., 2016",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,long,bright fruit,sweet,sour
172,2056,Auro,Philippines,2018,Philippines,"Paquibao E., 2016",70,3,3,Bean,Cocoa butter,,,,Sugar,,waxy,dried fruit,,
173,2056,Auro,Philippines,2018,Philippines,South Cotabato,70,3,3,Bean,Cocoa butter,,,,Sugar,,sandy,roasty,nutty,
174,2056,Auro,Philippines,2018,Philippines,Davao,77,2.75,4,Bean,,Vanilla,Lecithin,,Sugar,,sandy,vanilla,,
175,995,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70,3,2,Bean,,,,,Sugar,,unrefined,flat,grassy,
176,999,Bahen & Co.,Australia,2012,Brazil,Bahia,70,2.5,2,Bean,,,,,Sugar,,chalky,intense,chemical,
177,999,Bahen & Co.,Australia,2012,Blend,Houseblend,70,2.5,2,Bean,,,,,Sugar,,chalky,fragrant,then off,
178,1474,Bahen & Co.,Australia,2015,Papua new guinea,Papua New Guinea,70,3.5,2,Bean,,,,,Sugar,,smoke,ham,papaya,
179,1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80,3.25,2,Bean,,,,,Sugar,,coarse,smokey,metallic,
180,2146,Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70,3,2,Bean,,,,,Sugar,,bland,sugary,large grits,
181,1454,Bakau,Peru,2015,Peru,"Huallabamba, 2015",70,3.5,3,Bean,Cocoa butter,,,,Sugar,,black pepper,cardamom,,
